bank_name,card_name,card_type,card_category,card_usp,card_image_url,know_more_link,apply_now_link,joining_fee,annual_fee,annual_fee_waiver,add_on_card_fee,interest_rate_pa,card_replacement_fee,cash_payment_fee,duplicate_statement_fee,outstation_cheque_fee,hostlisting_charges,cash_withdrawal_fee,overdue_penalty_fee,over_limit_penalty,foreign_currency_transaction_fee,reward_point_redemption_fee,dynamic_currency_conversion_markup,education_transaction_fee,wallet_load_transaction_fee,fuel_transaction_fee,utility_transaction_fee,rewards_program,cashback_with_every_transaction,spend_based_reversal,flexipay,reward_points,rewards,features,returns_rate,welcome_benefit,welcome_points,milestone_benefit,bonus_points,fuel_benefits,dining_benefits,culinary_treats,travel_benefits,movie_benefits,OTT_benefits,cashback_offers,voucher_offers,mobile_app_benefits,stay_benefits,lifestyle_benefits,e_commerce,lounge_access,concierge_service,insurance,fraud_protection,health_and_wellness_benefits,security_features,international_use,full_card_description,eligibility_criteria,terms_and_conditions,features_clean,fuel_benefit,movie_offer,dining_offer,travel_offer,rewards_clean,milestone_rewards,cashback_offer,voucher_offer,travel_rewards,fuel_rewards,movie_rewards
SBI,Paytm SBI Card,Retail,Travel,"3% Cashback on Paytm Mall, Movies and Travel; 2% Cashback on all other purchases on Paytm App; 1% Cashback on any other spends across millions of offline and online stores.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/Paytm-SBI-Base-349x218-01.png,https://sbicard.com/en/personal/credit-cards/travel/paytm-sbi-card.page,https://www.sbicard.com/en/personal/credit-cards/travel/paytm-sbi-card.page,Rs. 499,Rs. 499,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"1% Fuel Surcharge waiver for each transaction between Rs.500 and Rs.3000. Maximum Surcharge waiver of Rs. 100 per statement cycle, per credit card account",NILL,"3% Cashback on Paytm Mall, Movies and Travel; 2% Cashback on all other purchases on Paytm App; 1% Cashback on any other spends across millions of offline and online stores.",1% Cashback on any other spends across millions of offline and online stores,NILL,"Yes, on spends above ₹2,500",False,"Complimentary Paytm First Membership; e-Voucher for renewal of Paytm First Membership on achieving retail spends of Rs.1,00,000 on your Credit Card during one Membership year.","Manage your Paytm SBI Card with intelligent features on the Paytm App or SBI Card App; Use features like Spend Analyzer, Smart Spend Control & One Tap Lock / Unlock and Convenient Card Re-issue features on Paytm App.",NILL,False,False,True,False,"1% Fuel Surcharge waiver for each transaction between Rs.500 and Rs.3000. Maximum Surcharge waiver of Rs. 100 per statement cycle, per credit card account",NILL,NILL,NILL,NILL,NILL,NILL,NILL,Extra points on app transactions,NILL,NILL,2% cashback on Amazon/Flipkart,False,NILL,False,Zero liability if reported within 24 hours,NILL,NILL,False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Manage your Paytm SBI Card with intelligent features on the Paytm App or SBI Card App; Use features like Spend Analyzer, Smart Spend Control & One Tap Lock / Unlock and Convenient Card Re-issue features on Paytm App.",False,False,False,False,"Complimentary Paytm First Membership; e-Voucher for renewal of Paytm First Membership on achieving retail spends of Rs.1,00,000 on your Credit Card during one Membership year.",True,False,True,False,False,False
SBI,Titan SBI Card,Retail,Shopping,Get 12000 Reward Points worth Rs. 3000 on payment of annual fees.,https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/Titan-349x218-03.png,https://sbicard.com/en/personal/credit-cards/shopping/titan-sbi-card.page#,https://sbicard.com/en/personal/credit-cards/shopping/titan-sbi-card.page#,Rs. 2999 + Taxes,Rs. 2999 + Taxes,Spend Based Reversal on Annual Spends of Rs 3Lac as Milestone Rewards,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"1% fuel surcharge across all petrol pumps in India, on transactions up to Rs. 3,000, exclusive of GST and other charges",NILL,6 Reward Points per Rs 100 spent on all other categories outside Titan spends.,"5% Cashback on spends at Mia, Caratlane & Zoya, subject to a quarterly cap",Fee reversal is preconditioned on fee levied during the renewal cycle,NILL,False,"3% value back on Tanishq in form of Gift Vouchers, 5% cashback on Mia, Caratlane & Zoya, 7.5% cashback on World of Titan, Taneira, Titan Eye+, Helios, Fastrack, Skinn, Irth & Sonata","8 complimentary Domestic Airport Lounges in a year, 4 complimentary International Airport Lounges in a year, Priority Pass Membership",NILL,False,False,False,False,1% fuel surcharge waiver,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,True,NILL,False,NILL,NILL,NILL,True,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"8 complimentary Domestic Airport Lounges in a year, 4 complimentary International Airport Lounges in a year, Priority Pass Membership",False,False,False,False,"3% value back on Tanishq in form of Gift Vouchers, 5% cashback on Mia, Caratlane & Zoya, 7.5% cashback on World of Titan, Taneira, Titan Eye+, Helios, Fastrack, Skinn, Irth & Sonata",False,True,True,False,False,False
SBI,Reliance SBI Card,Retail,Shopping,Get Reliance Retail Voucher worth of Rs. 500/- on payment of joining fees.,https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/rel-base.png,https://sbicard.com/en/personal/credit-cards/shopping/reliance-sbi-card.page,https://sbicard.com/en/personal/credit-cards/shopping/reliance-sbi-card-prime.page,Rs. 499 + Taxes,Rs. 499 + Taxes,"Renewal Fee reversed if annual spends for last year >= Rs. 1,00,000",Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,5 Reward Points per Rs. 100/- spent on the participating Reliance Retail Stores.,NILL,NILL,"Yes, on spends above ₹2,500.",False,"Free movie tickets, shopping vouchers","Contactless payments, lounge access",NILL,False,False,False,False,1% fuel surcharge waiver,20% off at select restaurants,NILL,"Free travel insurance, airport transfers",Buy 1 Get 1 free ticket monthly,3 months free Netflix,NILL,"₹500 Myntra voucher on spends > ₹50,000",Extra points on app transactions,10% off at partner hotels,Free gym membership,2% cashback on Amazon/Flipkart,True,24x7 concierge for travel bookings,False,Zero liability if reported within 24 hours,NILL,"chip & PIN, contactless, 2FA",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access",False,False,False,False,"Free movie tickets, shopping vouchers",False,False,True,False,False,True
SBI Cards and Payment Services Limited,Reliance SBI Card PRIME,Retail,Shopping,"Get Reliance Retail voucher worth of Rs. 3,000/- on payment of joining fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/rel-prime.png,https://sbicard.com/en/personal/credit-cards/shopping/reliance-sbi-card-prime.page,https://sbicard.com/en/personal/credit-cards/shopping/reliance-sbi-card-prime.page,Rs. 2999 + Taxes,Rs. 2999 + Taxes,Waiver of renewal fees on annual spends of Rs. 3 Lac in the previous year,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"1% fuel surcharge across all petrol pumps in India, for transactions between Rs. 500/- and Rs. 4,000/-",NILL,10 Reward Points per Rs. 100/- spent on the participating Reliance Retail Stores.,NILL,Annual fee reversed if spends > ₹1 lakh/year,"Yes, on spends above ₹2,500",False,"Free movie tickets, shopping vouchers.","8 complimentary Domestic Airport Lounges per calendar year, 4 complimentary International Airport Lounges per calendar year.",NILL,False,False,False,False,1% fuel surcharge waiver.,20% off at select restaurants.,NILL,"Free travel insurance, airport transfers.",Free Movie Ticket per month worth Rs. 250.,NILL,NILL,"₹500 Myntra voucher on spends > ₹50,000.",Extra points on app transactions.,10% off at partner hotels.,Free gym membership.,2% cashback on Amazon/Flipkart.,True,24x7 concierge for travel bookings.,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",True,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"8 complimentary Domestic Airport Lounges per calendar year, 4 complimentary International Airport Lounges per calendar year.",False,False,False,False,"Free movie tickets, shopping vouchers.",False,False,True,False,False,True
SBI,Lifestyle Home Centre SBI Card PRIME,Retail,Shopping,"12,000 bonus reward points equivalent to INR 3000 on payment of annual fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/lc-hc-prime-front.png,https://sbicard.com/en/personal/credit-cards/shopping/hc-sbi-card-prime.page,https://www.sbicard.com/en/personal/credit-cards/shopping/hc-sbi-card-prime.page,Rs. 2999 + Taxes,Rs. 2999 + Taxes,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"Enjoy 15 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar).",NILL,Annual fee reversed if spends > ₹1 lakh/year.,"Yes, on spends above ₹2,500.",False,"Cumulative milestone benefit upto 58,000 RP worth Rs 14,500.",Enjoy 8 complimentary visits per year to Domestic Airport lounges.,NILL,False,False,False,False,Enjoy freedom from paying the 1% fuel surcharge across all petrol pumps in India.,20% off at select restaurants.,NILL,"Free travel insurance, airport transfers.",Buy 1 Get 1 free ticket monthly.,3 months free Netflix.,NILL,"₹500 Myntra voucher on spends > ₹50,000.",Extra points on app transactions.,10% off at partner hotels.,Free gym membership.,2% cashback on Amazon/Flipkart.,True,24x7 concierge for travel bookings.,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,Enjoy 8 complimentary visits per year to Domestic Airport lounges.,False,False,False,False,"Cumulative milestone benefit upto 58,000 RP worth Rs 14,500.",True,False,False,False,False,False
SBI,Max SBI Card PRIME,Shopping,Shopping,"12,000 bonus reward points equivalent to INR 3,000 on payment of annual fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/max-sbi-card-prime.png,https://sbicard.com/en/personal/credit-cards/shopping/max-sbi-card-prime.page,https://sbicard.com/en/personal/credit-cards/shopping/max-sbi-card-prime.page,Rs. 2999 + Taxes,Rs. 2999 + Taxes,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,15 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores; 10 Reward Points on every 100 Rs. spent at Dining & Movies; 2 Reward point per 100 Rs. spent on other retail purchases.,NILL,Annual fee reversed if spends > ₹1 lakh/year,"Yes, on spends above ₹2,500",False,"Cumulative milestone benefit upto 58,000 RP worth Rs 14,500; Earn 20,000 bonus Reward Points on overall annual retail spends of Rs 500,000.","Contactless payments, lounge access, complimentary priority pass membership.",NILL,False,False,False,True,"1% fuel surcharge waiver across all petrol pumps in India, maximum surcharge waiver of Rs. 250 per statement cycle.",20% off at select restaurants,NILL,"Free travel insurance, airport transfers.",Buy 1 Get 1 free ticket monthly,3 months free Netflix,NILL,"₹500 Myntra voucher on spends > ₹50,000",Extra points on app transactions,10% off at partner hotels,Free gym membership,2% cashback on Amazon/Flipkart,True,24x7 concierge for travel bookings,False,Zero liability if reported within 24 hours,NILL,"chip & PIN, contactless, 2FA",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access, complimentary priority pass membership.",False,False,False,False,"Cumulative milestone benefit upto 58,000 RP worth Rs 14,500; Earn 20,000 bonus Reward Points on overall annual retail spends of Rs 500,000.",True,False,False,False,False,False
SBI,Spar SBI Card PRIME,Retail,Shopping,"12,000 bonus reward points equivalent to INR 3,000 on payment of annual fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/SBI-Spar-Prime-01.png,https://sbicard.com/en/personal/credit-cards/shopping/spar-sbi-card-prime.page,https://sbicard.com/en/personal/credit-cards/shopping/spar-sbi-card-prime.page,Rs. 2999 + Taxes,Rs. 2999 + Taxes,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"1% fuel surcharge waiver across all petrol pumps in India, on transactions of Rs. 500 - Rs. 4,000, exclusive of GST and other charges.",NILL,"Earn 15 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar).",NILL,Annual fee reversed if spends > ₹1 lakh/year.,"Yes, on spends above ₹2,500.",False,"Cumulative milestone benefit upto 58,000 RP worth Rs 14,500.","Contactless payments, lounge access.",NILL,False,False,False,False,1% fuel surcharge waiver.,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,2% cashback on Amazon/Flipkart.,True,NILL,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access.",False,False,False,False,"Cumulative milestone benefit upto 58,000 RP worth Rs 14,500.",True,False,False,False,False,False
SBI Cards and Payment Services Limited,Lifestyle Home Centre SBI Card SELECT,Retail,Shopping,Get 6000 bonus reward points equivalent to INR 1500 on payment of annual fees.,https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/lc-hc-select-front.png,https://sbicard.com/en/personal/credit-cards/shopping/lifestyle-hc-sbi-card-select.page,https://sbicard.com/en/personal/credit-cards/shopping/lifestyle-hc-sbi-card-select.page,Rs. 1499 + Taxes,Rs. 1499 + Taxes,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"Earn 10 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies.",NILL,Annual fee reversed if spends > ₹1 lakh/year.,"Yes, on spends above ₹2,500.",False,"Cumulative milestone benefit upto 34,400 RP worth Rs 8,600.","Contactless payments, lounge access.",NILL,False,False,False,False,"Enjoy freedom from paying the 1% fuel surcharge across all petrol pumps in India, on transactions of Rs. 500 - Rs. 3,000, exclusive of GST and other charges.",NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,Free gym membership.,2% cashback on Amazon/Flipkart.,True,NILL,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access.",False,False,False,False,"Cumulative milestone benefit upto 34,400 RP worth Rs 8,600.",True,False,False,False,False,False
SBI Cards and Payment Services Limited,Max SBI Card SELECT,Retail,Shopping,"Get 6,000 bonus reward points equivalent to INR 1,500 on payment of annual fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/max-select.png,https://sbicard.com/en/personal/credit-cards/shopping/max-sbi-card-select.page,https://sbicard.com/en/personal/credit-cards/shopping/max-sbi-card-select.page,Rs. 1499,Rs. 1499,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"Earn 10 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies.",NILL,NILL,"Yes, on spends above ₹2,500",False,"Free movie tickets, shopping vouchers","Contactless payments, lounge access",NILL,False,False,False,False,1% fuel surcharge waiver across all petrol pumps in India.,20% off at select restaurants.,NILL,"Free travel insurance, airport transfers.",Buy 1 Get 1 free ticket monthly.,NILL,NILL,"₹500 Myntra voucher on spends > ₹50,000.",Extra points on app transactions.,10% off at partner hotels.,Free gym membership.,2% cashback on Amazon/Flipkart.,True,24x7 concierge for travel bookings.,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA.",False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access",False,False,False,False,"Free movie tickets, shopping vouchers",False,False,True,False,False,True
SBI,Spar SBI Card SELECT,Retail,Shopping,"Get 6,000 bonus reward points equivalent to INR 1,500 on payment of annual fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/SBI-Spar-Select-01.png,https://sbicard.com/en/personal/credit-cards/shopping/spar-sbi-card-select.page,https://bankbazaar.com/credit-card.html?variant=slide&WT.mc_id=CROSS_SELL_IL_CCBUTTON_101293&utm_source=bb&utm_medium=seo&utm_campaign=CROSS_SELL_IL_CCBUTTON_101293,Rs. 1499,Rs. 1499,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"Earn 10 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies.",NILL,NILL,"Yes, on spends above ₹2,500.",False,Cumulative milestone benefit upto 34400 RP worth Rs 8600.,"Contactless payments, lounge access.",NILL,False,False,False,False,"Enjoy freedom from paying the 1% fuel surcharge across all petrol pumps in India, on transactions of Rs. 500 - Rs. 3,000, exclusive of GST and other charges.",NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,True,NILL,False,NILL,NILL,NILL,False,"This card offers premium travel, shopping, and lifestyle benefits, including lounge access, high rewards, and robust insurance, making it ideal for frequent travelers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access.",False,False,False,False,Cumulative milestone benefit upto 34400 RP worth Rs 8600.,True,False,False,False,False,False
SBI,Lifestyle Home Centre SBI Card,Retail,Shopping,"Get 2,000 bonus reward points equivalent to INR 500 on payment of annual fees.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/lc-hc-base-front.png,https://sbicard.com/en/personal/credit-cards/shopping/lifestyle-hc-sbi-card.page#,https://sbicard.com/en/personal/credit-cards/shopping/lifestyle-hc-sbi-card.page#,Rs. 499 + taxes,Rs. 499 + taxes,NILL,Nil,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,"Earn 5 Reward Points on every 100 Rs. spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies.",NILL,NILL,"Yes, on spends above ₹2,500",False,"Cumulative milestone benefit upto 16,000 RP worth Rs 4,000.","Contactless payments, lounge access, cash withdrawal from ATMs, utility bill payment facility.",NILL,False,False,False,False,1% fuel surcharge waiver across all petrol pumps in India.,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,Free gym membership.,2% cashback on Amazon/Flipkart.,True,NILL,False,Zero liability if reported within 24 hours.,NILL,"chip & PIN, contactless, 2FA",False,"This card offers premium shopping benefits, including reward points on purchases at Landmark Stores, fuel surcharge waivers, and milestone rewards, making it ideal for frequent shoppers.",NILL,All dues must be paid on time; rewards program subject to change.,"Contactless payments, lounge access, cash withdrawal from ATMs, utility bill payment facility.",False,False,False,False,"Cumulative milestone benefit upto 16,000 RP worth Rs 4,000.",True,False,False,False,False,False
State Bank of India,Max SBI Card,Shopping,Shopping,"5 Reward Points on every ₹100 spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar)",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/max-base.png,https://www.sbicard.com/en/personal/credit-cards/shopping/max-sbi-card.page,https://www.sbicard.com/en/eapply.page,Rs. 499 + taxes,Rs. 499 + taxes,NILL,NILL,3.35%,Rs. 100,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,Earn 1 Reward Point on every ₹100 spent using the Max SBI Card.,NILL,NILL,NILL,False,NILL,"Fuel surcharge waiver of 1% on transactions of ₹500 - ₹3,000, maximum waiver of ₹100 per cycle.",NILL,False,False,False,False,"1% fuel surcharge waiver across all petrol pumps in India, on transactions of ₹500 – ₹3,000, up to ₹100 per cycle.",5 Reward Points on every ₹100 spent at Dining & Movies,NILL,NILL,5 Reward Points on every ₹100 spent at Dining & Movies,NILL,NILL,NILL,NILL,NILL,NILL,NILL,False,NILL,False,NILL,NILL,NILL,False,"The Max SBI Card offers a variety of incentives and features across many categories, including shopping perks, milestone incentives, and fuel surcharge advantages, making it ideal for shopping at Landmark Stores.","The applicant must be a citizen of India or a non-resident Indian, aged 18 years or older, and must have a steady income source.",All dues must be paid on time; rewards program subject to change.,"Fuel surcharge waiver of 1% on transactions of ₹500 - ₹3,000, maximum waiver of ₹100 per cycle.",True,False,False,False,NILL,False,False,False,False,False,False
SBI,Spar SBI Card,Retail,Shopping,"5 Reward Points on every ₹100 spent at Online & Retail Landmark Stores (Lifestyle, Home Centre, Max and Spar) Dining & Movies",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/spar-base.png,https://www.sbicard.com/en/personal/credit-cards/shopping/spar-sbi-card.page,https://www.sbicard.com/en/eapply.page,Rs. 499 + Taxes,Rs. 499 + Taxes,NILL,Nil,3.50%,Rs. 100,NILL,NILL,NILL,NILL,NILL,NILL,NILL,3.5%,Rs. 99,NILL,NILL,NILL,NILL,NILL,Earn 1 Reward Point on every Rs. 100 that you spend using the Spar SBI Card,NILL,Annual fee reversed if spends > ₹1 lakh/year,"Yes, on spends above ₹2,500",False,"2,000 bonus reward points on payment of annual fees","1% fuel surcharge waiver across all petrol pumps in India, on transactions of Rs. 500 - Rs. 3,000 exclusive of GST and other charges",NILL,False,False,False,True,1% fuel surcharge waiver across all petrol pumps in India,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,False,NILL,False,NILL,NILL,NILL,False,The Spar SBI Card offers a variety of features and bonuses that apply to not only your shopping expenses but also your other purchases.,"The applicant must be salaried or self-employed, a citizen of India, and at least 18 years old.",All dues must be paid on time; rewards program subject to change.,"1% fuel surcharge waiver across all petrol pumps in India, on transactions of Rs. 500 - Rs. 3,000 exclusive of GST and other charges",True,False,False,False,"2,000 bonus reward points on payment of annual fees",False,False,False,False,False,False
State Bank of India,SBI Card Unnati,Secured Credit Card,Shopping,"No annual fee for the first 4 years, cashback on milestone spends, and fuel surcharge waiver.",https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/UNNATI_349x218-px-front.png,https://www.sbicard.com/en/personal/credit-cards/shopping/sbi-card-unnati.page,https://sbicard.com/en/eapply/eapplyform.page?path=personal/credit-cards/shopping/sbi-card-unnati-banca.dcr,NILL,499,Waived off for first 4 years,NILL,3.50%,100,100,NILL,NILL,NILL,2.5% of transaction amount (Min ₹500),2% of payment amount (Min ₹500),2.5% of amount (Min ₹600),3.5%,99,NILL,NILL,NILL,"1% waiver for transactions between ₹500 to ₹3,000",NILL,1 Reward Point for every ₹100 spent,"Cashback of ₹500 on annual spends of ₹50,000 or more",Annual fee waived if spends > ₹1 lakh/year,"Yes, on spends above ₹2,500",False,"Cashback, fuel surcharge waiver, and reward points","Worldwide acceptance, contactless payments, add-on cards, utility bill payment facility, balance transfer on EMI, Flexipay, and Easy Money facility.",NILL,False,False,False,False,"1% fuel surcharge waiver for transactions between ₹500 and ₹3,000",NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,False,NILL,False,NILL,NILL,NILL,False,"The SBI Card Unnati is a secured credit card that offers a range of benefits including no annual fee for the first four years, cashback on milestone spends, and a fuel surcharge waiver, making it ideal for those new to credit or with limited income.","Minimum fixed deposit of ₹25,000 with SBI",All dues must be paid on time; rewards program subject to change.,"Worldwide acceptance, contactless payments, add-on cards, utility bill payment facility, balance transfer on EMI, Flexipay, and Easy Money facility.",False,False,False,False,"Cashback, fuel surcharge waiver, and reward points",False,True,False,False,True,False
SBI,SimplyCLICK SBI Card,Retail,Shopping,10X Reward Points on online spends with exclusive partners,https://www.sbicard.com/sbi-card-en/assets/media/images/personal/credit-cards/network-card-images/Simplyclick_349x218-Front.png,https://www.sbicard.com/en/personal/credit-cards/shopping/simplyclick-sbi-card.page,https://sbicard.com/en/eapply/eapplyform.page?path=personal/credit-cards/shopping/simplyclick-sbi-card.dcr,₹ 499 + Taxes,₹ 499 + Taxes,Annual fee reversed on reaching annual spends of ₹ 1 Lakh,Nil,42% p.a.,₹ 100 to ₹ 250,₹ 250 + applicable taxes,₹ 100,,,2.5% of the transaction amount or ₹ 500 (whichever is higher),Varies based on statement balance,2.5% of overlimit amount or ₹ 600 (whichever is higher),3.50%,₹ 99,3.50%,,,,,Earn 10X Reward Points on online spends with exclusive partners,NILL,Annual fee reversed on reaching annual spends of ₹ 1 Lakh,"Yes, on spends above ₹ 2,500",False,"E-vouchers worth ₹ 2,000 on annual online spends of ₹ 1 Lakh and ₹ 2 Lakh","Contactless payments, worldwide acceptance, add-on cards available",NILL,False,False,False,False,"1% fuel surcharge waiver on transactions between ₹ 500 and ₹ 3,000",NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,NILL,False,NILL,False,NILL,NILL,NILL,False,"The SBI SimplyCLICK Credit Card is designed for online shoppers, offering exclusive rewards and cashback on digital transactions. Cardholders earn accelerated reward points on purchases made with top e-commerce platforms like Amazon, BookMyShow, Cleartrip, and more. With a low annual fee, easy EMI options, and additional perks like fuel surcharge waivers, this card is perfect for those who frequently shop online and want to maximize their savings.","Minimum age of 21 years and maximum age of 70 years, must be salaried or self-employed",All dues must be paid on time; rewards program subject to change.,"Contactless payments, worldwide acceptance, add-on cards available",False,False,False,False,"E-vouchers worth ₹ 2,000 on annual online spends of ₹ 1 Lakh and ₹ 2 Lakh",True,False,True,False,False,False
